12, 1300, 1000, 1400, 500,  1, 1000
8, 1300, 1000, 2800, 500,  2, 1600
14, 1300, 1000, 4200, 500,  3, 2200
3, 1300, 1000, 5600, 500,  4, 2800
13, 2300, 1000, 1400, 500,  2, 1600
5, 2300, 1000, 2800, 500,  4, 2560
2, 2300, 1000, 4200, 500,  6, 3520
6, 2300, 1000, 5600, 500,  8, 4480
9, 3300, 1000, 1400, 500,  3, 2200
7, 3300, 1000, 2800, 500,  6, 3520
15, 3300, 1000, 4200, 500,  9, 4840
4, 3300, 1000, 5600, 500,  12, 6160
1, 4300, 1000, 1400, 500,  4, 2800
11, 4300, 1000, 2800, 500,  8, 4480
10, 4300, 1000, 4200, 500,  12, 6160
0, 4300, 1000, 5600, 500,  16, 7840
